,vh,vv,vv_by_vh
68,"[0.1899505853652954, 0.17421983182430267, 0.2334776669740677, 0.22728703916072845, 0.31727075576782227, 0.19651979207992554, 0.262749582529068, 0.2289009541273117, 0.22581376135349274, 0.23917824029922485, 0.2034578174352646, 0.164102241396904, 0.2404915988445282, 0.2590208053588867, 0.1814751774072647, 0.283892959356308, 0.24845175445079803, 0.2411889284849167]","[0.05233226343989372, 0.057633962482213974, 0.049917325377464294, 0.06847676634788513, 0.08038099110126495, 0.05217798426747322, 0.05893193185329437, 0.04493262991309166, 0.05827631056308746, 0.056015823036432266, 0.0438852496445179, 0.05314715951681137, 0.06319600343704224, 0.0647415965795517, 0.048983134329319, 0.06446179747581482, 0.061071183532476425, 0.04707967862486839]","[3.6297032247317826, 3.0228674954991592, 4.677287198553985, 3.3191847583169074, 3.947086884859639, 3.7663354542891434, 4.458526545221001, 5.09431463437707, 3.874880876493311, 4.269833545847664, 4.636132164755279, 3.087695426977534, 3.8054874638411773, 4.0008405575944215, 3.7048502488057853, 4.404049692576765, 4.068232185457425, 5.122994368902001]"
69,"[0.2394692450761795, 0.24108722805976868, 0.20467102527618408, 0.2358841747045517, 0.33262723684310913, 0.16025252640247345, 0.2535281479358673, 0.2933376133441925, 0.2473723292350769, 0.25340792536735535, 0.2349681705236435, 0.260787695646286, 0.18445581197738647, 0.27448031306266785, 0.24406039714813232, 0.17493422329425812, 0.21356938779354095, 0.2466856688261032]","[0.07838686555624008, 0.07056344300508499, 0.08514203876256943, 0.05936925485730171, 0.07161171734333038, 0.07792556285858154, 0.0799722895026207, 0.0994124636054039, 0.06740839779376984, 0.0636187195777893, 0.06004945933818817, 0.05795564502477646, 0.06515982747077942, 0.07315707206726074, 0.06308159977197647, 0.06759586930274963, 0.08073224872350693, 0.0657840222120285]","[3.054966458690301, 3.4166023905947345, 2.403877429420478, 3.973170545453473, 4.64487166602057, 2.056482116058603, 3.170199946914852, 2.950712644126115, 3.669755361815469, 3.983228946591777, 3.912910675853772, 4.499780746721004, 2.8308210616442273, 3.7519313622927686, 3.868963343199079, 2.5879425044562927, 2.645403679079679, 3.7499328945106236]"
70,"[0.09835778921842575, 0.16447212547063828, 0.031081579625606537, 0.031209737062454224, 0.0844731442630291, 0.05166728235781193, 0.09548547863960266, 0.07367870956659317, 0.2512746602296829, 0.24088097363710403, 0.07832612469792366, 0.023385454900562763, 0.012684780173003674, 0.2878095507621765, 0.22074466943740845, 0.1611044779419899, 0.13209125399589539, 0.16034791618585587]","[0.028180187568068504, 0.021111726760864258, 0.02238960936665535, 0.019619708880782127, 0.04200455732643604, 0.019933865405619144, 0.04429660551249981, 0.021533356979489326, 0.05265726335346699, 0.05644853785634041, 0.009950308129191399, 0.0051251621916890144, 0.004812630359083414, 0.011243037413805723, 0.012659763917326927, 0.02369190752506256, 0.028444557450711727, 0.028747382573783398]","[3.4903170527465472, 7.790557699691696, 1.3882144666577374, 1.590733952888809, 2.011047125352395, 2.591934946207045, 2.1555935840875695, 3.421608142045509, 4.771889844388179, 4.267266837807878, 7.871728561665029, 4.562871188444479, 2.635727081981743, 25.598914258593943, 17.436712949700727, 6.799979181565056, 4.643814698990519, 5.57782663427896]"
71,"[0.011421679053455591, 0.12545403838157654, 0.011615543626248837, 0.012095979880541563, 0.05920996516942978, 0.015187250450253487, 0.014524669386446476, 0.010363721288740635, 0.010406747926026583, 0.019836210645735264, 0.010728613939136267, 0.02404752653092146, 0.013209602795541286, 0.01384738041087985, 0.01546021131798625, 0.01801964733749628, 0.023141073994338512, 0.010700506158173084]","[0.004691502545028925, 0.03087425511330366, 0.0035194800002500415, 0.004952316638082266, 0.01215097215026617, 0.005233465228229761, 0.003709611250087619, 0.005783336702734232, 0.00325267540756613, 0.00434301421046257, 0.0032167771132662892, 0.005294038215652108, 0.005214919336140156, 0.004659678554162383, 0.004653924843296409, 0.0039847539737820625, 0.003956075757741928, 0.004365468630567193]","[2.4345460636183396, 4.063386725321144, 3.3003579010034465, 2.44248919536486, 4.8728582731656385, 2.9019492416481825, 3.915415499697822, 1.7919968733345406, 3.199442496419773, 4.567383315934978, 3.335205878856344, 4.542378719485563, 2.533040675048759, 2.9717458511189156, 3.3219727087461237, 4.5221480312354725, 5.849502236920536, 2.4511700950609736]"
72,"[0.31307560205459595, 0.2680797278881073, 0.26353317499160767, 0.2684910297393799, 0.28130558133125305, 0.3136303126811981, 0.23423193395137787, 0.2244974970817566, 0.23003548383712769, 0.16701409220695496, 0.2335883527994156, 0.25658395886421204, 0.18349973857402802, 0.21178960800170898, 0.24014541506767273, 0.20131075382232666, 0.2646799385547638, 0.25671353936195374]","[0.05800756439566612, 0.054609037935733795, 0.06916429847478867, 0.04503610357642174, 0.06675330549478531, 0.061068177223205566, 0.0586579367518425, 0.05434507131576538, 0.06233663111925125, 0.06235303357243538, 0.04002642631530762, 0.04392651468515396, 0.03798889368772507, 0.07381206750869751, 0.03532974794507027, 0.05308394506573677, 0.06781519949436188, 0.044672414660453796]","[5.397151308045379, 4.909072527584074, 3.810248651443622, 5.961684258136977, 4.214107140405629, 5.135740527097645, 3.9931839904686117, 4.130963335706037, 3.6902135984388553, 2.6785239247892414, 5.835853317488966, 5.841209135377428, 4.830352262490873, 2.8693087072348047, 6.797258090859983, 3.7923095876358186, 3.902958931452663, 5.746578538751098]"
73,"[0.05491308867931366, 0.09729915857315063, 0.18375547230243683, 0.05351660028100014, 0.14432169497013092, 0.3124412000179291, 0.07204099744558334, 0.11572804301977158, 0.055504798889160156, 0.0718437060713768, 0.08814920485019684, 0.12885642051696777, 0.10141881555318832, 0.07305696606636047, 0.055761441588401794, 0.07752376794815063, 0.23028120398521423, 0.21067610383033752]","[0.009127326309680939, 0.012631046585738659, 0.003950343932956457, 0.008359677158296108, 0.030945826321840286, 0.029180603101849556, 0.02074878104031086, 0.02511356957256794, 0.016213340684771538, 0.03344285115599632, 0.017059164121747017, 0.021347761154174805, 0.024883033707737923, 0.018905913457274437, 0.03397236764431, 0.037497710436582565, 0.01854129508137703, 0.02437293343245983]","[6.016338938279204, 7.7031747062835025, 46.5163224825625, 6.401754429941172, 4.663688520357093, 10.707153615962296, 3.4720592648609885, 4.608187724384019, 3.423402984512212, 2.148253022335244, 5.1672640125329625, 6.036062497905941, 4.0758219734939285, 3.8642388917870725, 1.641376373063631, 2.067426705405428, 12.419909341527596, 8.643855053973907]"
74,"[0.16502343118190765, 0.42247137427330017, 0.15898439288139343, 0.34994587302207947, 0.13450641930103302, 0.3774089217185974, 0.15605883300304413, 0.44158679246902466, 0.1935640424489975, 0.28495320677757263, 0.1696358025074005, 0.351606160402298, 0.32566678524017334, 0.18426282703876495, 0.3851500153541565, 0.4186406135559082, 0.17686545848846436, 0.3639412224292755]","[0.026220401749014854, 0.06560201197862625, 0.044608112424612045, 0.056237008422613144, 0.03325740993022919, 0.06523801386356354, 0.040713485330343246, 0.047030072659254074, 0.024633852764964104, 0.066090889275074, 0.037706032395362854, 0.08156704157590866, 0.07565481960773468, 0.02890603616833687, 0.06291462481021881, 0.054379336535930634, 0.038957029581069946, 0.07789377123117447]","[6.293703382638211, 6.439914897898944, 3.5640242153280512, 6.22269716753576, 4.04440452768915, 5.785107475955614, 3.8330993216818863, 9.389455884290111, 7.857643881199822, 4.3115353705044175, 4.4989035369381, 4.3106401017999785, 4.304640298248471, 6.374544955444393, 6.121788320536867, 7.698523744939318, 4.540013968991287, 4.672276315254586]"
75,"[0.009209739044308662, 0.01525738462805748, 0.014834724832326174, 0.013270518276840448, 0.016620692797005177, 0.01771883387118578, 0.011127026751637459, 0.01110098883509636, 0.012141354382038116, 0.01864254381507635, 0.014992475975304842, 0.020597181282937527, 0.012248401530086994, 0.012960989959537983, 0.02114441990852356, 0.021039210259914398, 0.015895034186542034, 0.010033132042735815]","[0.0031225854763761163, 0.005418696673586965, 0.004395197378471494, 0.004054412012919784, 0.00391488044988364, 0.004600898362696171, 0.003999178996309638, 0.00453185080550611, 0.0032487581484019756, 0.004147024126723409, 0.004842435009777546, 0.005922478390857577, 0.005059070652350783, 0.003761621774174273, 0.004088732413947582, 0.004055711207911372, 0.0039057558169588447, 0.0043295149225741625]","[2.94939533728855, 2.8156926927518326, 3.3752124318669865, 3.273105504460976, 4.245517330548162, 3.851168288099799, 2.7823277632497208, 2.449548608618994, 3.7372293742488343, 4.495402786529229, 3.0960613709906193, 3.4777976251856018, 2.4210773819487112, 3.4455856376956175, 5.17138755189633, 5.187551376654667, 4.069643605861273, 2.3173801735669968]"
76,"[0.17826463282108307, 0.10352383553981781, 0.0973137766122818, 0.11419126391410828, 0.03526802361011505, 0.029687484726309776, 0.17566938698291779, 0.08354751765727997, 0.08736787736415863, 0.04365493729710579, 0.14911383390426636, 0.21250955760478973, 0.011530101299285889, 0.04892640560865402, 0.036344461143016815, 0.17873640358448029, 0.24289803206920624, 0.22540584206581116]","[0.027265610173344612, 0.031189346686005592, 0.022529413923621178, 0.021806996315717697, 0.015975071117281914, 0.014980077743530273, 0.03329164534807205, 0.02915208227932453, 0.020444558933377266, 0.02697576954960823, 0.09372184425592422, 0.08134973794221878, 0.005376549903303385, 0.006181668024510145, 0.005396070424467325, 0.006246400997042656, 0.020976252853870392, 0.012674212455749512]","[6.53807604846335, 3.319205002337164, 4.319410036239436, 5.2364508280218, 2.2076911802891397, 1.9817977739889545, 5.276680835274216, 2.865919382936642, 4.273404853040095, 1.6183018325695844, 1.591025391018602, 2.6122955399774166, 2.1445167452461895, 7.914757863842277, 6.735357081001138, 28.614301846631783, 11.579667434471663, 17.78460341049107]"
77,"[0.053280435502529144, 0.08437461405992508, 0.039577458053827286, 0.061316028237342834, 0.10617722570896149, 0.10215520858764648, 0.07500480115413666, 0.07545989006757736, 0.02997680753469467, 0.13850714266300201, 0.02191212773323059, 0.10101724416017532, 0.15360325574874878, 0.33095890283584595, 0.16989079117774963, 0.31246113777160645, 0.1483353078365326, 0.2546572983264923]","[0.021908696740865707, 0.030286995694041252, 0.014844400808215141, 0.016084134578704834, 0.04058819264173508, 0.027104608714580536, 0.031161217018961906, 0.02435637265443802, 0.012112432159483433, 0.02464171312749386, 0.008202647790312767, 0.013319099321961403, 0.011173545382916927, 0.010509836487472057, 0.010024283081293106, 0.02261480689048767, 0.028897041454911232, 0.02859274484217167]","[2.431930850690291, 2.785836367273799, 2.6661539637170435, 3.8122056202218295, 2.6159633824094954, 3.768923937009043, 2.4069920346338045, 3.098157970325999, 2.474879292613773, 5.620840643115166, 2.671348117507686, 7.584390034062699, 13.747047198071131, 31.49039504376265, 16.947924335336523, 13.816661768756251, 5.13323511225133, 8.906360677583365]"
78,"[0.2126607596874237, 0.1877090036869049, 0.28106892108917236, 0.21517549455165863, 0.2936180830001831, 0.19977901130914688, 0.2604580670595169, 0.22358956187963486, 0.26548492908477783, 0.20527184754610062, 0.25103798508644104, 0.13107433915138245, 0.2362094223499298, 0.2875727564096451, 0.21071412414312363, 0.21139385551214218, 0.31257064640522003, 0.18269598484039307]","[0.06751470640301704, 0.03252515010535717, 0.06613108143210411, 0.04197554104030132, 0.07729990035295486, 0.04444126412272453, 0.07547974586486816, 0.04277741350233555, 0.06311408616602421, 0.048689067363739014, 0.06689203903079033, 0.04036040976643562, 0.038688840344548225, 0.06266903504729271, 0.04229850135743618, 0.024332869797945023, 0.07464760169386864, 0.04769131727516651]","[3.149843508434786, 5.771195615665664, 4.250178811573527, 5.126211341625485, 3.798427703781112, 4.495349429247945, 3.4507014308953363, 5.226813488090564, 4.206429106592921, 4.215974112064755, 3.7528828351440824, 3.2475968383350264, 6.105363206711231, 4.588753539808463, 4.981597867085652, 8.687584212939608, 4.187283172031149, 3.830801816319828]"
79,"[0.29184600710868835, 0.22686662524938583, 0.30589132010936737, 0.15467923134565353, 0.25319356471300125, 0.2906583696603775, 0.28831323981285095, 0.1341048702597618, 0.3060038387775421, 0.2581047862768173, 0.3021126836538315, 0.16434679925441742, 0.2011881172657013, 0.26985056698322296, 0.15946464985609055, 0.12326779961585999, 0.27711932361125946, 0.22935603559017181]","[0.06036779098212719, 0.03911810554563999, 0.05399201437830925, 0.039843225851655006, 0.07619987055659294, 0.02123167458921671, 0.07485722750425339, 0.026505005545914173, 0.07474052533507347, 0.061587950214743614, 0.06557115539908409, 0.018150851130485535, 0.032215895131230354, 0.05521000549197197, 0.0349697470664978, 0.01990669686347246, 0.06423629447817802, 0.0323840556666255]","[4.834465571136996, 5.799529964064731, 5.665491899710564, 3.8821964848317743, 3.322755837556925, 13.689846669371953, 3.8515083903751175, 5.0596054404687525, 4.094215787294496, 4.190832547224949, 4.607402169674922, 9.054495465415739, 6.244995411307627, 4.8877112867243175, 4.560074442427497, 6.192277928441692, 4.314061479766719, 7.0823752883596525]"
80,"[0.2595023512840271, 0.13527671992778778, 0.3660428375005722, 0.1761351302266121, 0.30813683569431305, 0.1882830336689949, 0.26712340116500854, 0.18439140170812607, 0.3005622923374176, 0.19602659344673157, 0.2297108992934227, 0.24505572021007538, 0.20803267508745193, 0.4347388297319412, 0.183210127055645, 0.1943301036953926, 0.2450811192393303, 0.17436151206493378]","[0.06524333730340004, 0.05467572249472141, 0.06655274704098701, 0.051939839497208595, 0.07678227871656418, 0.0503158587962389, 0.05458838492631912, 0.04576552286744118, 0.05487210303544998, 0.04107995890080929, 0.07136131078004837, 0.040265003219246864, 0.046269211918115616, 0.0543279517441988, 0.03557058982551098, 0.04858758859336376, 0.059013811871409416, 0.040700605139136314]","[3.977453668215461, 2.4741642863676447, 5.500041001690613, 3.391137360678177, 4.013124393348318, 3.7420216642127357, 4.893410961426306, 4.0290461062186855, 5.477506341304982, 4.771830320474585, 3.218983743186044, 6.086072286539333, 4.496136122992872, 8.002120745852768, 5.150606946760494, 3.9995832129428788, 4.1529450728138, 4.28400293973206]"
81,"[0.3034016489982605, 0.17509184032678604, 0.2874297946691513, 0.1657467484474182, 0.3583298772573471, 0.22982551902532578, 0.24337007105350494, 0.21319815516471863, 0.3120003938674927, 0.18572331964969635, 0.22966304421424866, 0.19037168473005295, 0.26124273240566254, 0.30175331234931946, 0.2765050381422043, 0.2270982339978218, 0.2697141468524933, 0.1889614313840866]","[0.07365750893950462, 0.06484158337116241, 0.07917869463562965, 0.06083332188427448, 0.06368721649050713, 0.04726492054760456, 0.05354435369372368, 0.05794975534081459, 0.06458572670817375, 0.04686403088271618, 0.05905189923942089, 0.048064183443784714, 0.06040889769792557, 0.06836419552564621, 0.05267167091369629, 0.04971614293754101, 0.0832524523139, 0.05866658315062523]","[4.119086476946243, 2.70030173884767, 3.6301406077969194, 2.7246045968478345, 5.626401921816725, 4.8624966753905525, 4.54520512929512, 3.679017347197686, 4.830794817518202, 3.963024864730374, 3.889172866110528, 3.9607805873308837, 4.324573736008323, 4.413908626133389, 5.249596858152914, 4.567897278015474, 3.2397141388165607, 3.22093807472871]"
82,"[0.2365065962076187, 0.3534129559993744, 0.26022928953170776, 0.3364507555961609, 0.31945154070854187, 0.2973843514919281, 0.2522099018096924, 0.3381531834602356, 0.2688612937927246, 0.2423330694437027, 0.2139815092086792, 0.30802857875823975, 0.2600667476654053, 0.20097380876541138, 0.2444370836019516, 0.2804690897464752, 0.23543688654899597, 0.3584998548030853]","[0.038732029497623444, 0.07659439742565155, 0.04878557473421097, 0.04973872750997543, 0.06408413499593735, 0.056741729378700256, 0.04835151135921478, 0.0598299577832222, 0.03269440308213234, 0.07450496405363083, 0.04645967110991478, 0.06073508411645889, 0.06332739442586899, 0.05022690072655678, 0.05119312182068825, 0.05777529254555702, 0.07063814997673035, 0.05640199035406113]","[6.106227824238606, 4.614083638981876, 5.334144179902866, 6.764361945702841, 4.984877157642741, 5.241016704076003, 5.2161741116211555, 5.651904096028998, 8.223465438941098, 3.2525761541105416, 4.605747395465618, 5.07167452287706, 4.106702162992656, 4.001318135465787, 4.7748032334916, 4.854481516044587, 3.3329990469251207, 6.356156095779911]"
83,"[0.17328650504350662, 0.22127074003219604, 0.1388179287314415, 0.1920512691140175, 0.12861080467700958, 0.21933957934379578, 0.18131572008132935, 0.23647183179855347, 0.14834197610616684, 0.2141128107905388, 0.16696302592754364, 0.286685973405838, 0.21090935170650482, 0.18156316131353378, 0.14211805164813995, 0.15143343806266785, 0.18881704658269882, 0.2444671019911766]","[0.04990878887474537, 0.056197112426161766, 0.04650185815989971, 0.044066594913601875, 0.037390800192952156, 0.04073418863117695, 0.04290955886244774, 0.03705309331417084, 0.033716073259711266, 0.04266291297972202, 0.04513298347592354, 0.03744783438742161, 0.04066493362188339, 0.04243837296962738, 0.0443615410476923, 0.040029920637607574, 0.03050379455089569, 0.03986532241106033]","[3.472063918008484, 3.9374040850039584, 2.9852125103067255, 4.358205336503949, 3.4396376652364773, 5.384655659396604, 4.225532139879621, 6.381972749036733, 4.3997405914830185, 5.018710534189451, 3.699357167837377, 7.655608878203469, 5.186516561605949, 4.278278091468688, 3.2036319814803407, 3.7830062026252973, 6.189952737442448, 6.132324717468008]"
84,"[0.1319417580962181, 0.15165893733501434, 0.06611304730176926, 0.0722404308617115, 0.05054079182446003, 0.07842303067445755, 0.11053578555583954, 0.08891674131155014, 0.07318587973713875, 0.0495834406465292, 0.09964576363563538, 0.06301800347864628, 0.06818753108382225, 0.07199915871024132, 0.027784903533756733, 0.15760698914527893, 0.3094498962163925, 0.19119279831647873]","[0.03780518099665642, 0.040327537804841995, 0.026618975214660168, 0.031040405854582787, 0.02217557653784752, 0.02149616740643978, 0.04283779859542847, 0.03252369351685047, 0.0323211420327425, 0.025506420992314816, 0.03478500247001648, 0.03052014485001564, 0.010974835138767958, 0.011750385165214539, 0.006580115063115954, 0.008523942437022924, 0.022171275690197945, 0.015934502705931664]","[3.490044343601671, 3.760679317168854, 2.4836811623521133, 2.3273030385021842, 2.2791196313746793, 3.6482331567144257, 2.580333004498406, 2.7339066291927305, 2.2643345851764387, 1.943959156851872, 2.8646185585735324, 2.064800274976873, 6.213080216845702, 6.1273871194780325, 4.222555877404284, 18.489917114025562, 13.957243621899583, 11.998667410267323]"
85,"[0.2209998071193695, 0.10672665759921074, 0.18520597368478775, 0.09951693937182426, 0.2091602087020874, 0.2294442504644394, 0.2518240436911583, 0.13486696034669876, 0.22726250439882278, 0.08770685642957687, 0.2014949768781662, 0.2783302366733551, 0.26399803161621094, 0.24177859723567963, 0.17060250043869019, 0.06143711507320404, 0.24706155061721802, 0.20149454474449158]","[0.06023620814085007, 0.022608958184719086, 0.06587499752640724, 0.02988088596612215, 0.059531643986701965, 0.04276108741760254, 0.0637797899544239, 0.03287966176867485, 0.042012253776192665, 0.05768074840307236, 0.042279817163944244, 0.021282920613884926, 0.030769675970077515, 0.05166492983698845, 0.032882848754525185, 0.025471726432442665, 0.04205072298645973, 0.02687870990484953]","[3.668886437914661, 4.720547347968692, 2.8114759869333494, 3.33045477582736, 3.513429072256246, 5.365725343317369, 3.9483360461222596, 4.101835392819928, 5.409433771620388, 1.5205568384217634, 4.765748538997913, 13.077633550527512, 8.579811885992568, 4.679743067464367, 5.188191014478716, 2.4119729471871687, 5.87532230294284, 7.496436601971636]"
86,"[0.15648720413446426, 0.10180898383259773, 0.01598637644201517, 0.013198417611420155, 0.014868943020701408, 0.013026348315179348, 0.01307545555755496, 0.01441609812900424, 0.011783503461629152, 0.024325215257704258, 0.013104668818414211, 0.019860955886542797, 0.010432257317006588, 0.01316197868436575, 0.01805067900568247, 0.012966612353920937, 0.02154750470072031, 0.00967655936256051]","[0.027321078814566135, 0.016639994457364082, 0.005087895784527063, 0.004248234210535884, 0.004029921488836408, 0.0037087511736899614, 0.0041395744774490595, 0.004470411920920014, 0.0047239880077540874, 0.004738333635032177, 0.0036018036771565676, 0.004897665698081255, 0.004815275780856609, 0.0036120223812758923, 0.00555869285017252, 0.004160464042797685, 0.004881308414041996, 0.005195284960791469]","[5.7277095533663065, 6.118330393285789, 3.1420408591370466, 3.106800839437539, 3.689635905287733, 3.5123273859914943, 3.158647254394244, 3.2247807101492776, 2.4943974121626424, 5.133706727162338, 3.6383628851086214, 4.055188146941852, 2.166492178595584, 3.6439360820672655, 3.247288434928051, 3.1166264677537265, 4.41428872609952, 1.862565660130094]"
87,"[0.28350263833999634, 0.1899806559085846, 0.2510843276977539, 0.20216479897499084, 0.19186578691005707, 0.22789856791496277, 0.20972990989685059, 0.16839812695980072, 0.26260823011398315, 0.2426634430885315, 0.17761804163455963, 0.21997761726379395, 0.18288789689540863, 0.2946016192436218, 0.17933784425258636, 0.15898829698562622, 0.15224680304527283, 0.2206173837184906]","[0.04369382932782173, 0.047909535467624664, 0.05760239064693451, 0.05716217681765556, 0.06188955157995224, 0.0572347491979599, 0.05765833705663681, 0.04170897975564003, 0.06684869527816772, 0.056325726211071014, 0.05434173718094826, 0.03420150279998779, 0.06895732134580612, 0.06348434090614319, 0.039239875972270966, 0.04640333354473114, 0.051581934094429016, 0.03752463310956955]","[6.488390756803686, 3.9654038398465765, 4.358921997469495, 3.536688247893118, 3.1001321226603906, 3.9818217273342413, 3.637460263393244, 4.037454954458083, 3.928397241280923, 4.308216855992088, 3.26853815959404, 6.431811448468646, 2.652189692494945, 4.640539935338828, 4.570295899490515, 3.4262257652754027, 2.951552820151346, 5.879268241592178]"
88,"[0.26227620244026184, 0.25364190340042114, 0.22715483605861664, 0.297385036945343, 0.22584085166454315, 0.2228008359670639, 0.25668761134147644, 0.29190385341644287, 0.28732237219810486, 0.2565804123878479, 0.2124781459569931, 0.3080838620662689, 0.21621444821357727, 0.17183087766170502, 0.20142768323421478, 0.26811179518699646, 0.2553485631942749, 0.26426562666893005]","[0.06174954026937485, 0.04319748282432556, 0.043068528175354004, 0.05335795506834984, 0.04970879107713699, 0.052688390016555786, 0.02843543142080307, 0.03606657683849335, 0.04776885733008385, 0.03287705034017563, 0.041916053742170334, 0.055479664355516434, 0.05200571194291115, 0.060698267072439194, 0.040289901196956635, 0.03855742886662483, 0.06493035703897476, 0.05659222975373268]","[4.247419515936699, 5.871682487424688, 5.27426512310226, 5.573396442281235, 4.5432778945295285, 4.228651433400323, 9.02703417939657, 8.093472655405932, 6.014847083586299, 7.804240639991588, 5.0691352593439865, 5.553095276353012, 4.157513475652923, 2.8309025273594175, 4.999458356811011, 6.953570377175047, 3.932652996825517, 4.669645069984184]"
89,"[0.08930163085460663, 0.11383260041475296, 0.23093388974666595, 0.12457647174596786, 0.10694849491119385, 0.14206570386886597, 0.06701722741127014, 0.09478779137134552, 0.02852916345000267, 0.04078732058405876, 0.1118016391992569, 0.1388428956270218, 0.11770567297935486, 0.08240349590778351, 0.12734326720237732, 0.19749270379543304, 0.07908400893211365, 0.040409982204437256]","[0.004559769295156002, 0.008254220709204674, 0.01285694818943739, 0.009881491772830486, 0.030217964202165604, 0.03706894814968109, 0.01643277518451214, 0.020036453381180763, 0.015286477282643318, 0.025212474167346954, 0.035727471113204956, 0.03609256446361542, 0.02630830556154251, 0.02166382223367691, 0.024338604882359505, 0.04459583759307861, 0.005502740852534771, 0.008755805902183056]","[19.584681827976425, 13.790835552508648, 17.961796714432545, 12.607051102192415, 3.539235608185983, 3.832471946471677, 4.078265944661238, 4.730766946029228, 1.8663007128787912, 1.6177436737598334, 3.129290591125403, 3.8468559297577216, 4.474087953099383, 3.803737633134996, 5.232151465455403, 4.428500829998637, 14.371748743298452, 4.615221334950101]"
90,"[0.24839654564857483, 0.38071632385253906, 0.19525428116321564, 0.40384015440940857, 0.19260695576667786, 0.30076199769973755, 0.2266332507133484, 0.37725093960762024, 0.19978228211402893, 0.40443652868270874, 0.22778338193893433, 0.4161595106124878, 0.437865287065506, 0.20439030230045319, 0.3447796106338501, 0.2583017945289612, 0.23042498528957367, 0.21472172439098358]","[0.05629684031009674, 0.04319748282432556, 0.036672428250312805, 0.0334133543074131, 0.05152302607893944, 0.045884326100349426, 0.03537670895457268, 0.028129465878009796, 0.03905610367655754, 0.03534665331244469, 0.03776255249977112, 0.057617347687482834, 0.06562385708093643, 0.035423148423433304, 0.04937591403722763, 0.03628625348210335, 0.03587361425161362, 0.056643594056367874]","[4.412264423373426, 8.813391405254484, 5.324280133032919, 12.086190170970426, 3.7382694772543243, 6.554787293638538, 6.406284174267559, 13.411237214515904, 5.115264025529083, 11.442003436866159, 6.0319911356711104, 7.222816171090377, 6.672349150789321, 5.76996431421787, 6.98274892438242, 7.1184476142282795, 6.423244217139594, 3.7907503570007766]"
91,"[0.2514868602156639, 0.08477988094091415, 0.2379823476076126, 0.2038777992129326, 0.2605065554380417, 0.08293423056602478, 0.26824048161506653, 0.1455858126282692, 0.28286609053611755, 0.14135494828224182, 0.20978941023349762, 0.15050580352544785, 0.15559040755033493, 0.2779340445995331, 0.09400459006428719, 0.16960716247558594, 0.2666822522878647, 0.14428235590457916]","[0.06259411759674549, 0.03543073497712612, 0.04581482708454132, 0.04776131547987461, 0.07370765134692192, 0.019702092744410038, 0.06416842341423035, 0.01734358537942171, 0.04928214102983475, 0.015251560602337122, 0.04323497414588928, 0.024453061632812023, 0.03637148626148701, 0.05143198184669018, 0.02603763621300459, 0.031997645273804665, 0.05632999539375305, 0.017519661225378513]","[4.017739523637596, 2.392834385051497, 5.194439502488306, 4.268680566364246, 3.5343217519156593, 4.209412250866357, 4.180256695469629, 8.394216619189237, 5.739728117024669, 9.268228476276771, 4.852307983939065, 6.154885870139614, 4.277812746824325, 5.403914735932329, 3.610335027929158, 5.300613874060205, 4.734285000801536, 8.235453531234702]"
92,"[0.14640596508979797, 0.3105586916208267, 0.29014548659324646, 0.3017738312482834, 0.30252446234226227, 0.2668604701757431, 0.21480687707662582, 0.25285738706588745, 0.2816765010356903, 0.2546822428703308, 0.15299474447965622, 0.31920182704925537, 0.27057452499866486, 0.1866980716586113, 0.27428922057151794, 0.24336832761764526, 0.22812200337648392, 0.2682338207960129]","[0.04788798466324806, 0.051252176985144615, 0.03677457198500633, 0.08930249884724617, 0.05098521709442139, 0.05200737901031971, 0.042982855811715126, 0.06369959004223347, 0.046572085469961166, 0.044448453933000565, 0.03945646807551384, 0.0485803596675396, 0.04810831882059574, 0.04357289336621761, 0.05744215101003647, 0.056786295026540756, 0.03306187316775322, 0.07342017814517021]","[3.0572588535378094, 6.059424396954724, 7.889839933733127, 3.379231658057788, 5.9335721133050425, 5.131203980165787, 4.99750128324604, 3.969529268528109, 6.048183116415748, 5.729833556285814, 3.877558026401322, 6.57059415026397, 5.624277289914955, 4.284729730694443, 4.775051347286651, 4.285687726306143, 6.899851143309747, 3.653407381628072]"
93,"[0.2594306170940399, 0.31655728816986084, 0.3239646255970001, 0.28946271538734436, 0.3048481345176697, 0.2735432982444763, 0.3007976710796356, 0.33951979875564575, 0.24660344421863556, 0.30057838559150696, 0.21119721233844757, 0.32317662239074707, 0.24102628231048584, 0.2450023591518402, 0.3430019021034241, 0.4271581172943115, 0.33968645334243774, 0.3898365795612335]","[0.05859038606286049, 0.1074097752571106, 0.06341501325368881, 0.052478574216365814, 0.06836090981960297, 0.07430863380432129, 0.06295933574438095, 0.09247972816228867, 0.05638860911130905, 0.08294343203306198, 0.060454074293375015, 0.07105595618486404, 0.07505760341882706, 0.07764317840337753, 0.09627586603164673, 0.11151327937841415, 0.04995254427194595, 0.06671185791492462]","[4.427870074378787, 2.947192538222023, 5.108642401460908, 5.515826596086777, 4.459392587403106, 3.6811778691128203, 4.777650010490802, 3.671288892197403, 4.373284748553549, 3.6238961690383604, 3.4935149501014204, 4.548198908898624, 3.2112174027931735, 3.1554911093281883, 3.562698693260015, 3.8305582947190895, 6.8001832197606475, 5.843587508211493]"
